step,time(s),dt(s),strain_eq,sigma_vm(Pa),s_xx(Pa),s_yy(Pa),s_zz(Pa),s_yz(Pa),s_zx(Pa),s_xy(Pa),density(1/m^2),Lpxx,Lpxy,Lpxz,Lpyx,Lpyy,Lpyz,Lpzx,Lpzy,Lpzz,epdot_eq(1/s),ep_eq(-)
1,2e-11,2e-11,2.1633006557380645e-08,2771.2812921102036,0.0,0.0,0.0,0.0,0.0,1600.0,1430428346485.4194,399.58046979985204,203.3747894226091,259.1205594940423,6.340569077937943,-59.62538863225437,-129.5909742080456,-635.0210141615111,109.18988296586276,-343.80881014191976,499.51521879602944,9.990304375920589e-09
2,4.3999999999999997e-11,2.3999999999999998e-11,4.7945625780698794e-08,6096.818842642448,0.0,0.0,0.0,0.0,0.0,3520.0,1430424917642.5642,412.569793987741,212.27804730953181,254.31632758599577,14.042642109712375,-52.78279456719246,-134.73179824048702,-628.4156406734182,120.01347938430364,-359.7677146779033,515.1871223473328,2.2354795312256573e-08
3,7.28e-11,2.8799999999999997e-11,7.933379416496314e-08,10087.463903281141,0.0,0.0,0.0,0.0,0.0,5824.0,1430421967892.869,409.51819970757225,200.6577203655412,240.50239451996111,13.354784653386664,-63.57494601557867,-151.0706888476972,-641.4845908394667,125.47419684560694,-345.9283108177024,513.1828479298296,3.713446133263566e-08
4,1.0735999999999999e-10,3.4559999999999995e-11,1.1721867203804221e-07,14876.23797604757,0.0,0.0,0.0,0.0,0.0,8588.8,1430433334777.517,417.62364786080985,201.82511508200685,237.35603807347698,15.832996750876607,-61.85431464458685,-153.09573214365273,-640.5635293130844,117.05675504538416,-355.75650676736313,523.082677247348,5.5212198658304e-08
5,1.4883199999999998e-10,4.147199999999999e-11,1.6264007381099382e-07,20622.766863367287,0.0,0.0,0.0,0.0,0.0,11906.559999999998,1430447358154.013,413.28711074597027,204.9725067606932,230.4412508737217,19.43652686605882,-79.80244188084437,-133.80206337159873,-639.2883164404724,98.1210465002048,-333.4733456158452,514.95849286166,7.656855727426277e-08
6,1.9859839999999997e-10,4.976639999999999e-11,2.1730592908068784e-07,27518.601528150946,0.0,0.0,0.0,0.0,0.0,15887.871999999996,1430445857863.3438,406.6907319308967,209.8226759658139,228.6570951550428,24.13542053853655,-74.47285046503761,-133.03478414630982,-640.1405954541146,93.93429441095893,-332.20775217236275,512.5735736563223,1.0207749877027276e-07
7,2.5831807999999997e-10,5.971967999999998e-11,2.823162313316539e-07,35793.603125891335,0.0,0.0,0.0,0.0,0.0,20665.446399999993,1430456981181.0396,379.1453357144392,205.6711010123851,212.61874798296634,30.102037368581165,-74.24452358228648,-124.34672871981667,-637.4138695626001,89.25441555640776,-304.891702330104,490.4814330819851,1.3136889299987032e-07
8,3.29981696e-10,7.166361599999998e-11,3.6076388497425186e-07,45723.60504317981,0.0,0.0,0.0,0.0,0.0,26398.535679999994,1430494821375.636,372.9991540146357,206.0137522858084,210.34041743814367,33.579883106080814,-52.87868951561108,-134.6266705555744,-657.6799333612726,70.57167689126072,-320.1122660975795,500.1378376851977,1.6721057894681264e-07
9,4.1597803519999995e-10,8.599633919999998e-11,4.554395955294353e-07,57639.60734392597,0.0,0.0,0.0,0.0,0.0,33278.24281599999,1430585483637.2424,354.4020315639507,201.1800165461782,215.02410470596962,55.87765045768104,-32.71539372498513,-130.29566853945275,-673.7178428659646,40.956039612350104,-321.67927179281355,498.24942235065083,2.1005820527748325e-07
10,5.191736422399999e-10,1.0319560703999998e-10,5.690937084947747e-07,71938.81010482137,0.0,0.0,0.0,0.0,0.0,41533.89137919999,1430740483089.041,353.8892762570306,185.19681537629927,214.95773609925922,62.6955854686292,-32.108917713101214,-117.61409760383637,-704.91625081098,-8.30756599709729,-321.77375349947556,508.9139271279413,2.6257588691856146e-07
11,6.430083706879998e-10,1.2383472844799998e-10,7.042815068984309e-07,89097.85341789585,0.0,0.0,0.0,0.0,0.0,51440.66965503999,1430922008716.4817,334.5508859121437,174.92576988980582,238.7405872397526,83.40628349675498,-36.49338524495178,-111.8545693432868,-685.9929019305083,31.213654406673914,-298.0516126195053,475.2033573105372,3.2142256562868973e-07
12,7.916100448255998e-10,1.4860167413759998e-10,8.67567498405573e-07,109688.70539358523,0.0,0.0,0.0,0.0,0.0,63328.80358604799,1431157129570.6902,305.0846843039266,160.65717280830842,246.11735104616682,138.20716589238728,11.643402085161627,-89.2757514606403,-626.1154968138545,75.14237654882227,-316.7228623887902,454.9613338726954,3.8903058151004785e-07
13,9.416100448255998e-10,1.5e-10,1.0313325814571074e-06,130473.31508441175,0.0,0.0,0.0,0.0,0.0,75328.80358604799,1431450637531.269,329.13427242290516,204.47932974666412,250.57338631185294,88.99305706946079,-4.973292934604447,-86.91949327412334,-541.7545161150172,148.3061554237197,-324.1563626194741,447.7885346054103,4.561988617008594e-07
14,1.0916100448256e-09,1.5e-10,1.1978561353089566e-06,151257.9247752383,0.0,0.0,0.0,0.0,0.0,87328.80358604799,1431689373083.0325,271.73597859132053,199.47472268914464,288.88597610531724,160.1178186648926,46.726198216106035,-55.02422101051522,-548.3306210817022,119.67362094348682,-318.457950054871,430.37826608066496,5.207556016129591e-07
15,1.2416100448256e-09,1.5e-10,1.3654210896443905e-06,172042.5344660648,0.0,0.0,0.0,0.0,0.0,99328.80358604799,1431816107955.8433,271.4113484120055,203.82839948086834,277.21281710555627,163.43368491985456,49.51364879667759,-48.42652590791624,-538.563002342984,88.38971559362824,-320.92109492832367,433.203014670879,5.85736053813591e-07
16,1.3916100448256001e-09,1.5e-10,1.531931555415457e-06,192827.14415689133,0.0,0.0,0.0,0.0,0.0,111328.80358604799,1432049822686.5088,238.5883761856338,184.99486875411532,268.76095206514594,177.9065379792878,101.7554777099165,-37.86107913822596,-500.154801661275,87.73841456607437,-340.3402339177148,429.70859267859356,6.5019234271538e-07
17,1.5416100448256002e-09,1.5e-10,1.694203505679841e-06,213611.75384771786,0.0,0.0,0.0,0.0,0.0,123328.80358604799,1432265213802.3054,194.76271361466095,207.6495006904582,245.06917805825543,129.99019942841028,105.24916363207265,-96.27826098310888,-470.07976900771234,87.86020362457033,-300.0085006058586,384.15760646581,7.078159836852514e-07
18,1.6916100448256003e-09,1.5e-10,1.85264825500551e-06,234396.3635385444,0.0,0.0,0.0,0.0,0.0,135328.803586048,1432454188684.8677,148.98905563408158,214.27864657606725,219.8740152740999,104.61415484402181,117.13724648059944,-118.9707474062014,-418.2299244562889,69.40269776051603,-266.1231380430211,344.9519158172804,7.595587710578435e-07
19,1.8416100448256005e-09,1.5e-10,2.0095260808387775e-06,255180.97322937092,0.0,0.0,0.0,0.0,0.0,147328.803586048,1432691552712.863,127.11067436418912,215.78908397944772,201.79011429046423,100.7398043906064,111.01022804317755,-135.7795670372937,-377.5856910299706,91.48913419287348,-238.11792327590388,318.0237641649844,8.072623356825912e-07
20,1.9916100448256006e-09,1.5e-10,2.1618160788750777e-06,275965.58292019746,0.0,0.0,0.0,0.0,0.0,159328.803586048,1431682605905.5076,88.47474796164101,222.30776147106434,161.81080713775776,57.66216929897409,111.12858504804133,-177.8979988412097,-339.3901637759057,72.18106633043874,-199.60053332576342,283.50725596243876,8.49788424076957e-07
21,2.1416100448256007e-09,1.5e-10,2.3153725437013347e-06,296750.19261102396,0.0,0.0,0.0,0.0,0.0,171328.803586048,1431508275249.2197,98.82593542057502,225.5694986504274,136.78915304541025,57.81350247672658,105.1323544146078,-207.018174520014,-330.66824551102576,69.04705410988072,-203.9556417577235,295.3899233290246,8.940969125763107e-07
22,2.2916100448256008e-09,1.5e-10,2.4647557106304197e-06,317534.80230185046,0.0,0.0,0.0,0.0,0.0,183328.803586048,1430651569418.553,67.72790783791301,214.07472711434474,133.73693276538555,38.22015452461926,100.54574066837193,-200.055947350045,-310.3336855607311,65.17886510409515,-168.27115743302198,257.5877478292672,9.327350747507008e-07
23,2.441610044825601e-09,1.5e-10,2.615122838816461e-06,338319.411992677,0.0,0.0,0.0,0.0,0.0,195328.803586048,1430916280185.6807,54.54603503677868,208.32998659346174,124.54829470390199,50.191264024481335,124.55415199101783,-209.8147735420662,-305.77432716818475,76.14808092340814,-179.09781515122373,269.9833110867999,9.732325714137207e-07
24,2.591610044825601e-09,1.5e-10,2.7659754719072374e-06,359104.0216835036,0.0,0.0,0.0,0.0,0.0,207328.803586048,1431141095520.6243,45.84811274496261,217.70809023411243,130.09225961310258,52.4419613731983,112.98104314963874,-228.61492954119407,-306.756094430247,73.16639835012684,-158.8269161650935,263.6543927626531,1.0127807303281186e-06
25,2.741610044825601e-09,1.5e-10,2.9177219149335045e-06,379888.6313743301,0.0,0.0,0.0,0.0,0.0,219328.803586048,1430749342688.9604,59.68273757583431,233.6972926009423,129.6582808642782,46.8231199316741,86.07231403253245,-228.72740477369774,-302.11101956629,77.96227907119585,-145.75291564270103,255.3367330363332,1.0510812402835685e-06
26,2.891610044825601e-09,1.5e-10,3.0665105124671952e-06,400673.2410651566,0.0,0.0,0.0,0.0,0.0,231328.803586048,1431019544464.155,29.06342990468031,220.57394458520037,106.73963586559107,34.042901295237776,92.88231140445927,-247.0704365573622,-281.11994606588263,73.52271718039884,-121.94369306649183,240.86039089709615,1.087210298918133e-06
27,3.0416100448256013e-09,1.5e-10,3.2149778977366776e-06,421457.85075598315,0.0,0.0,0.0,0.0,0.0,243328.803586048,1431267918701.662,34.75555631332918,219.36314973265607,114.78752958272399,30.87473085333297,86.57600932354507,-230.81376744282497,-273.6030754190032,86.24378740610045,-121.3296013717552,227.73545040638643,1.1213706164790908e-06
28,3.1916100448256014e-09,1.5e-10,3.3604277577603263e-06,442242.46044680965,0.0,0.0,0.0,0.0,0.0,255328.803586048,1431506157053.5244,5.124623115858708,240.58772893331374,72.17288422136657,-21.574138800869502,87.83002572697812,-270.02723142580066,-255.70458552079918,55.24873563827564,-92.9527599547685,231.3308034152956,1.1560702369913852e-06
29,3.3416100448256015e-09,1.5e-10,3.4965203935716414e-06,463027.07013763615,0.0,0.0,0.0,0.0,0.0,267328.80358604796,1431271360548.8113,-59.793135190534684,299.75748996908675,-76.56461686479085,-187.74947011540604,48.357563964669126,-391.3064746888766,-260.6409389854613,-79.04531771677132,11.437394157696366,346.20474000908956,1.2080009479927487e-06
30,3.4916100448256016e-09,1.5e-10,3.643831380223338e-06,483811.67982846266,0.0,0.0,0.0,0.0,0.0,279328.80358604796,1428104799546.6045,8.511471534772218,227.1894647108846,52.80263549573212,5.607331941351876,89.75847208900382,-250.49734068776763,-232.20715334136733,49.74658886052248,-98.26817139410409,232.5600408864581,1.2428849541257175e-06
