step,time(s),dt(s),strain_eq,sigma_vm(Pa),s_xx(Pa),s_yy(Pa),s_zz(Pa),s_yz(Pa),s_zx(Pa),s_xy(Pa),density(1/m^2),Lpxx,Lpxy,Lpxz,Lpyx,Lpyy,Lpyz,Lpzx,Lpzy,Lpzz,epdot_eq(1/s),ep_eq(-)
1,2e-11,2e-11,1.0758054398555564e-08,1600.0,0.0,0.0,1600.0,0.0,0.0,0.0,956686211770.9614,-189.92740404684432,53.50133027475131,172.6472272085209,11.593143076938711,196.93423496896136,-186.5408053330142,-151.56281968105486,322.3887993957745,-7.006830921438848,240.10118351317627,4.802023670263525e-09
2,4.3999999999999997e-11,2.3999999999999998e-11,2.3831033314067043e-08,3520.0000000000005,0.0,0.0,3520.0,0.0,0.0,0.0,956689444586.7203,-192.91598149927054,51.023684563471086,172.65128454354476,13.04357548127308,192.6722604931268,-182.7511198518014,-149.956818346745,326.06001994707816,0.24372100610531874,240.7180674666878,1.0579257289464031e-08
3,7.28e-11,2.8799999999999997e-11,3.9634577417184014e-08,5824.0,0.0,0.0,5824.0,0.0,0.0,0.0,956696314703.2642,-197.41236280197217,51.49170118642299,173.34649825474582,17.216167087573808,193.90824380428018,-184.87119020611908,-149.94165999811244,322.8311202778835,3.5041189977732072,243.22154073088635,1.758403766251356e-08
4,1.0735999999999999e-10,3.4559999999999995e-11,5.849761398182745e-08,8588.8,0.0,0.0,8588.8,0.0,0.0,0.0,956708119217.5198,-195.67892097350813,49.26670984916575,170.56621372527943,15.330887334772664,195.62712362448687,-180.73316691982848,-149.85676312163665,323.0202042884363,0.05179734904098178,243.56228532431072,2.6001550243321734e-08
5,1.4883199999999998e-10,4.147199999999999e-11,8.068823773308215e-08,11906.559999999998,0.0,0.0,11906.559999999998,0.0,0.0,0.0,956727912184.7195,-179.9711121928818,45.05943419901988,169.36869452861865,42.82837926442022,185.41599792268073,-186.45049944076536,-136.24795138410022,319.0909451699375,-5.444885729873643,230.94834906352156,3.5579440175684095e-08
6,1.9859839999999997e-10,4.976639999999999e-11,1.0723046637475803e-07,15887.871999999996,0.0,0.0,15887.871999999996,0.0,0.0,0.0,956761195547.1246,-168.26201559256992,48.69636567868227,167.10325902266507,45.500051729975745,169.40736296502877,-181.42933387012624,-143.08834276479752,320.4698187351539,-1.1453473724938787,218.1791942145159,4.6437433226641377e-08
7,2.5831807999999997e-10,5.971967999999998e-11,1.3869460304512446e-07,20665.446399999993,0.0,0.0,20665.446399999993,0.0,0.0,0.0,956797644027.6486,-162.13982758756578,43.95100557659649,174.59823694746194,51.96063400884767,168.62460269031297,-185.6753960967919,-141.69926107295828,318.35430849340776,-6.484775102696926,214.02207384423085,5.9218762989555207e-08
8,3.29981696e-10,7.166361599999998e-11,1.7563963588881709e-07,26398.535679999994,0.0,0.0,26398.535679999994,0.0,0.0,0.0,956847799461.1428,-145.75374121339198,49.33349927704633,182.52161088039634,55.559877650060855,158.4535212767225,-185.73220134095146,-141.0846171756554,310.87878409107685,-12.699780063281532,201.169268641436,7.363528020847591e-08
9,4.1597803519999995e-10,8.599633919999998e-11,2.1964189412991488e-07,33278.24281599999,0.0,0.0,33278.24281599999,0.0,0.0,0.0,956900741862.8325,-135.4349772511311,45.225923506651185,176.7603099785699,43.79137621279955,147.05532739686132,-187.64743280440055,-149.6273405127063,320.6131583028865,-11.62035014573231,188.45515087270365,8.984173328691211e-08
10,5.191736422399999e-10,1.0319560703999998e-10,2.716288103864242e-07,41533.89137919999,0.0,0.0,41533.89137919999,0.0,0.0,0.0,956997504634.957,-128.82339521089705,50.0508787508526,178.9539824175209,54.15666098919547,148.79639812700546,-191.03355481905956,-148.666316425814,318.4283600695029,-19.97300291608044,188.215747343428,1.0926477158850443e-07
